"table","relation_count","related_facts","fill","stroke","type"
"course_ui_navigation_item_fact",7,"account_dim,course_ui_navigation_item_dim,course_ui_canvas_navigation_dim,external_tool_activation_dim,course_dim,account_dim,enrollment_term_dim","#dae8fc","#6c8ebf","fact"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_ui_navigation_item_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_ui_canvas_navigation_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"external_tool_activation_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
